quantity,item,price,link,notes
1,PCBs,$12.00,n/a,
1,1k resistor,$0.00,n/a,in resistor kit
1,9.1k resistor,$0.00,n/a,in resistor kit
3,warm white LED,$2.54,https://fr.aliexpress.com/item/1005010178968219.html?spm=a2g0o.detail.0.0.6e57qYsWqYsW7l&mp=1&pdp_npi=6%40dis!USD!USD+2.54!USD+2.54!!USD+2.54!!!%400b884a9917871341746261098e0e91!12000051419606516!ct!LU!8371518626!!1!0!&gatewayAdapt=glo2fra,
3,33 ohm resistor,$0.00,n/a,in resistor kit
1,MX switch,$2.76,https://fr.aliexpress.com/item/1005007253216906.html?spm=a2g0o.detail.0.0.3ca2yRaAyRaAw7&mp=1&pdp_npi=6%40dis!USD!USD+2.89!USD+2.76!!USD+2.76!!!%402103962917871211149654310e0d12!12000039956314994!ct!LU!-1!!1!0!&gatewayAdapt=glo2fra,
1,Hot Swap Socket,$2.18,https://fr.aliexpress.com/item/1005012011087592.html?spm=a2g0o.productlist.main.7.2b4465f6YtHLKA&algo_pvid=7149d909-9fcf-40be-bf76-2380052c0856&algo_exp_id=7149d909-9fcf-40be-bf76-2380052c0856-6&pdp_ext_f={%22order%22%3A%223521%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005012011087592%22%2C%22orig_item_id%22%3A%221005009794038277%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!USD!4.11!2.06!!!27.47!13.73!%4021038c6f17872428937582643e0d72!12000057272683078!sea!LU!6401819456!X!1!0!n_tag%3A-29919%3Bd%3Ae8030a98%3Bm03_new_user%3A-29895&curPageLogUid=6Fu3TWeCDtcK&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A1005012011087592|_p_origin_prod%3A1005009794038277,optional
1,resistor kit,$4.70,https://fr.aliexpress.com/item/1005006202968025.html?spm=a2g0o.productlist.main.6.7a1c4b52x8gLrN&algo_pvid=625a760d-86d4-4030-97c5-b59993b37df5&algo_exp_id=625a760d-86d4-4030-97c5-b59993b37df5-5&pdp_ext_f=%7B%22order%22%3A%2287%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.35%213.18%21%21%2142.45%2121.22%21%40210382de17872425073297284e1021%2112000036253095536%21sea%21LU%216401819456%21X%211%210%21n_tag%3A-29919%3Bd%3Ae8030a98%3Bm03_new_user%3A-29895&curPageLogUid=jc8wnwc6wigE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006202968025%7C_p_origin_prod%3A,the resistor kit
0,aliexpress shipping,$12.05,n/a,
,TOTAL,$29.26,,
