Designator,Mid X,Mid Y,Rotation,Layer
D1_9,234.96,-42.483654,0.0,top
D1_8,268.0,-42.453654,0.0,top
D1_7,201.95,-42.483654,0.0,top
D1_6,267.74,-95.48,0.0,top
D1_5,267.87,-68.96,0.0,top
D1_4,201.69,-95.51,0.0,top
D1_3,201.82,-68.99,0.0,top
D1_2,234.7,-95.51,0.0,top
D1,234.83,-68.99,0.0,top
D2_9,268.0,-48.768654,0.0,top
D2_8,201.95,-48.798654,0.0,top
D2_7,234.96,-48.798654,0.0,top
D2_6,267.74,-101.795,0.0,top
D2_5,267.87,-75.275,0.0,top
D2_4,201.69,-101.825,0.0,top
D2_3,201.82,-75.305,0.0,top
D2_2,234.83,-75.305,0.0,top
D2,234.7,-101.825,0.0,top
D3_9,268.0,-55.083654,0.0,top
D3_8,201.95,-55.113654,0.0,top
D3_7,234.96,-55.113654,0.0,top
D3_6,267.74,-108.11,0.0,top
D3_5,267.87,-81.59,0.0,top
D3_4,201.69,-108.14,0.0,top
D3_3,201.82,-81.62,0.0,top
D3_2,234.7,-108.14,0.0,top
D3,234.83,-81.62,0.0,top
J1_9,257.65,-41.073654,0.0,top
J1_8,224.64,-41.073654,0.0,top
J1_7,290.69,-41.043654,0.0,top
J1_6,290.56,-67.55,0.0,top
J1_5,290.43,-94.07,0.0,top
J1_4,224.38,-94.1,0.0,top
J1_3,224.51,-67.58,0.0,top
J1_2,257.52,-67.58,0.0,top
J1,257.39,-94.1,0.0,top
MOUSE-BITE-1MM-3MM_24,231.5,-92.28,90.0,top
MOUSE-BITE-1MM-3MM_23,231.52,-110.68,90.0,top
MOUSE-BITE-1MM-3MM_22,264.8,-56.813654,90.0,top
MOUSE-BITE-1MM-3MM_21,264.8,-40.563654,90.0,top
MOUSE-BITE-1MM-3MM_20,241.8,-61.973654,0.0,top
MOUSE-BITE-1MM-3MM_19,257.94,-61.963654,0.0,top
MOUSE-BITE-1MM-3MM_18,208.79,-61.973654,0.0,top
MOUSE-BITE-1MM-3MM_17,224.93,-61.963654,0.0,top
MOUSE-BITE-1MM-3MM_16,274.84,-61.943654,0.0,top
MOUSE-BITE-1MM-3MM_15,290.98,-61.933654,0.0,top
MOUSE-BITE-1MM-3MM_14,231.76,-40.593654,90.0,top
MOUSE-BITE-1MM-3MM_13,231.76,-56.843654,90.0,top
MOUSE-BITE-1MM-3MM_12,264.56,-110.65,90.0,top
MOUSE-BITE-1MM-3MM_11,274.71,-88.45,0.0,top
MOUSE-BITE-1MM-3MM_10,290.85,-88.44,0.0,top
MOUSE-BITE-1MM-3MM_9,264.54,-92.25,90.0,top
MOUSE-BITE-1MM-3MM_8,264.67,-67.07,90.0,top
MOUSE-BITE-1MM-3MM_7,264.67,-83.32,90.0,top
MOUSE-BITE-1MM-3MM_6,224.8,-88.47,0.0,top
MOUSE-BITE-1MM-3MM_5,208.66,-88.48,0.0,top
MOUSE-BITE-1MM-3MM_4,257.81,-88.47,0.0,top
MOUSE-BITE-1MM-3MM_3,241.67,-88.48,0.0,top
MOUSE-BITE-1MM-3MM_2,231.63,-83.35,90.0,top
MOUSE-BITE-1MM-3MM,231.63,-67.1,90.0,top
R1_9,254.395,-41.733654,0.0,top
R1_8,221.385,-41.733654,0.0,top
R1_7,287.435,-41.703654,0.0,top
R1_6,287.305,-68.21,0.0,top
R1_5,287.175,-94.73,0.0,top
R1_4,221.125,-94.76,0.0,top
R1_3,221.255,-68.24,0.0,top
R1_2,254.265,-68.24,0.0,top
R1,254.135,-94.76,0.0,top
R2_9,221.385,-43.383654,0.0,top
R2_8,254.395,-43.383654,0.0,top
R2_7,287.435,-43.353654,0.0,top
R2_6,287.305,-69.86,0.0,top
R2_5,287.175,-96.38,0.0,top
R2_4,221.125,-96.41,0.0,top
R2_3,221.255,-69.89,0.0,top
R2_2,254.265,-69.89,0.0,top
R2,254.135,-96.41,0.0,top
R3_9,238.24,-41.473654,180.0,top
R3_8,271.28,-41.443654,180.0,top
R3_7,205.23,-41.473654,180.0,top
R3_6,271.15,-67.95,180.0,top
R3_5,271.02,-94.47,180.0,top
R3_4,204.97,-94.5,180.0,top
R3_3,205.1,-67.98,180.0,top
R3_2,237.98,-94.5,180.0,top
R3,238.11,-67.98,180.0,top
R4_9,238.24,-48.723654,180.0,top
R4_8,271.28,-48.693654,180.0,top
R4_7,205.23,-48.723654,180.0,top
R4_6,271.15,-75.2,180.0,top
R4_5,271.02,-101.72,180.0,top
R4_4,204.97,-101.75,180.0,top
R4_3,205.1,-75.23,180.0,top
R4_2,237.98,-101.75,180.0,top
R4,238.11,-75.23,180.0,top
R5_9,238.24,-55.973654,180.0,top
R5_8,271.28,-55.943654,180.0,top
R5_7,205.23,-55.973654,180.0,top
R5_6,271.15,-82.45,180.0,top
R5_5,271.02,-108.97,180.0,top
R5_4,204.97,-109.0,180.0,top
R5_3,205.1,-82.48,180.0,top
R5_2,237.98,-109.0,180.0,top
R5,238.11,-82.48,180.0,top
SW1_9,245.444231,-48.733654,270.0,top
SW1_8,278.484231,-48.703654,270.0,top
SW1_7,212.434231,-48.733654,270.0,top
SW1_6,278.354231,-75.21,270.0,top
SW1_5,278.224231,-101.73,270.0,top
SW1_4,212.174231,-101.76,270.0,top
SW1_3,212.304231,-75.24,270.0,top
SW1_2,245.184231,-101.76,270.0,top
SW1,245.314231,-75.24,270.0,top
